"仓库(填写编号，例如001,002)",物流方式（填写名称，比如Fedex Ground）,国家简码,邮编起,邮编止,属性(填写数字：0普通 1偏远 2超级偏远),备注
004,MBB DEUPS,,ES_38323,,2,,
004,MBB DEUPS,,ES_38324,,2,,
004,MBB DEUPS,,ES_38325,,2,,
004,MBB DEUPS,,ES_38326,,2,,
004,MBB DEUPS,,ES_38327,,2,,
004,MBB DEUPS,,ES_38328,,2,,
004,MBB DEUPS,,ES_3833,,2,,
004,MBB DEUPS,,ES_3834,,2,,
004,MBB DEUPS,,ES_38350,,2,,
004,MBB DEUPS,,ES_38351,,2,,
004,MBB DEUPS,,ES_38352,,2,,
004,MBB DEUPS,,ES_38353,,2,,
004,MBB DEUPS,,ES_38354,,2,,
004,MBB DEUPS,,ES_38355,,2,,
004,MBB DEUPS,,ES_38358,,2,,
004,MBB DEUPS,,ES_38359,,2,,
004,MBB DEUPS,,ES_38360,,2,,
004,MBB DEUPS,,ES_38361,,2,,
004,MBB DEUPS,,ES_38362,,2,,
004,MBB DEUPS,,ES_38363,,2,,
004,MBB DEUPS,,ES_38364,,2,,
004,MBB DEUPS,,ES_38365,,2,,
004,MBB DEUPS,,ES_38366,,2,,
004,MBB DEUPS,,ES_38367,,2,,
004,MBB DEUPS,,ES_38368,,2,,
004,MBB DEUPS,,ES_38370,,2,,
004,MBB DEUPS,,ES_38371,,2,,
004,MBB DEUPS,,ES_38372,,2,,
004,MBB DEUPS,,ES_38373,,2,,
004,MBB DEUPS,,ES_38374,,2,,
004,MBB DEUPS,,ES_38375,,2,,
004,MBB DEUPS,,ES_38376,,2,,
004,MBB DEUPS,,ES_38377,,2,,
004,MBB DEUPS,,ES_38378,,2,,
004,MBB DEUPS,,ES_3838,,2,,
004,MBB DEUPS,,ES_38390,,2,,
004,MBB DEUPS,,ES_38391,,2,,
004,MBB DEUPS,,ES_38392,,2,,
004,MBB DEUPS,,ES_38393,,2,,
004,MBB DEUPS,,ES_38394,,2,,
004,MBB DEUPS,,ES_38395,,2,,
004,MBB DEUPS,,ES_38396,,2,,
004,MBB DEUPS,,ES_38397,,2,,
004,MBB DEUPS,,ES_38398,,2,,
004,MBB DEUPS,,ES_3840,,2,,
004,MBB DEUPS,,ES_38410,,2,,
004,MBB DEUPS,,ES_38413,,2,,
004,MBB DEUPS,,ES_38414,,2,,
004,MBB DEUPS,,ES_38416,,2,,
004,MBB DEUPS,,ES_38417,,2,,
004,MBB DEUPS,,ES_38418,,2,,
004,MBB DEUPS,,ES_38419,,2,,
004,MBB DEUPS,,ES_38420,,2,,
004,MBB DEUPS,,ES_38421,,2,,
004,MBB DEUPS,,ES_38422,,2,,
004,MBB DEUPS,,ES_38423,,2,,
004,MBB DEUPS,,ES_38424,,2,,
004,MBB DEUPS,,ES_38425,,2,,
004,MBB DEUPS,,ES_38426,,2,,
004,MBB DEUPS,,ES_38427,,2,,
004,MBB DEUPS,,ES_3843,,2,,
004,MBB DEUPS,,ES_38440,,2,,
004,MBB DEUPS,,ES_38441,,2,,
004,MBB DEUPS,,ES_38442,,2,,
004,MBB DEUPS,,ES_38443,,2,,
004,MBB DEUPS,,ES_38444,,2,,
004,MBB DEUPS,,ES_38445,,2,,
004,MBB DEUPS,,ES_38446,,2,,
004,MBB DEUPS,,ES_38447,,2,,
004,MBB DEUPS,,ES_38448,,2,,
004,MBB DEUPS,,ES_38450,,2,,
004,MBB DEUPS,,ES_38451,,2,,
004,MBB DEUPS,,ES_38452,,2,,
004,MBB DEUPS,,ES_38453,,2,,
004,MBB DEUPS,,ES_38454,,2,,
004,MBB DEUPS,,ES_38455,,2,,
004,MBB DEUPS,,ES_38456,,2,,
004,MBB DEUPS,,ES_38457,,2,,
004,MBB DEUPS,,ES_3846,,2,,
004,MBB DEUPS,,ES_38470,,2,,
004,MBB DEUPS,,ES_38471,,2,,
004,MBB DEUPS,,ES_38472,,2,,
004,MBB DEUPS,,ES_38473,,2,,
004,MBB DEUPS,,ES_38474,,2,,
004,MBB DEUPS,,ES_38475,,2,,
004,MBB DEUPS,,ES_38476,,2,,
004,MBB DEUPS,,ES_38477,,2,,
004,MBB DEUPS,,ES_38478,,2,,
004,MBB DEUPS,,ES_38479,,2,,
004,MBB DEUPS,,ES_38480,,2,,
004,MBB DEUPS,,ES_38481,,2,,
004,MBB DEUPS,,ES_38482,,2,,
004,MBB DEUPS,,ES_38483,,2,,
004,MBB DEUPS,,ES_38484,,2,,
004,MBB DEUPS,,ES_38485,,2,,
004,MBB DEUPS,,ES_38486,,2,,
004,MBB DEUPS,,ES_38487,,2,,
